Part,Sample_ID,Top (px),Top (µm),Top (mm),Bottom (px),Bottom (µm),Bottom (mm),Total (px),Total (µm),Total (mm)
Part 1,Sample 1,188.45,103.689,0.1037,162.11,89.195,0.0892,350.57,192.883,0.1929
Part 1,Sample 2,235,129.298,0.1293,167,91.884,0.0919,402,221.183,0.2212
Part 1,Sample 3,130,71.527,0.0715,133,73.177,0.0732,263,144.704,0.1447
Part 1,Sample 4,148.67,81.797,0.0818,67,36.864,0.0369,215.67,118.661,0.1187
Part 1,Sample 5,127.11,69.937,0.0699,31,17.056,0.0171,158.11,86.994,0.087
Part 2,Mark1,191,105.089,0.1051,4,2.201,0.0022,195,107.29,0.1073
Part 2,Mark2,99,54.47,0.0545,383,210.729,0.2107,482,265.199,0.2652
Part 2,Mark3,24,13.205,0.0132,23,12.655,0.0127,47,25.86,0.0259
Part 2,Mark4,70,38.514,0.0385,122,67.125,0.0671,192,105.64,0.1056
Part 3,mark1,60,33.012,0.033,74,40.715,0.0407,134,73.728,0.0737
Part 3,Mark4,261,143.604,0.1436,220,121.045,0.121,481,264.649,0.2646
Part 3,Mark5,49,26.96,0.027,55,30.261,0.0303,104,57.221,0.0572
Part 3,Mark6,145,79.78,0.0798,42,23.109,0.0231,187,102.889,0.1029
Part 3,Mark8,210,115.543,0.1155,1,0.55,0.0006,211,116.094,0.1161
